timestamp,Product,aFRR_Neg_Avg_Price,aFRR_Neg_Marginal_Price,aFRR_Neg_Offered_Capacity,aFRR_Neg_Demand
2024-01-01 00:00:00,NEG_00_04,21.33,25.21,3378,1892
2024-01-01 04:00:00,NEG_04_08,19.77,23.4,3414,1838
2024-01-01 08:00:00,NEG_08_12,13.07,23.08,3226,2044
2024-01-01 12:00:00,NEG_12_16,15.02,20.63,3284,1989
2024-01-01 16:00:00,NEG_16_20,5.83,6.73,3089,1940
2024-01-01 20:00:00,NEG_20_24,8.24,9.81,3199,1983
2024-01-02 00:00:00,NEG_00_04,18.1,20.63,3270,1851
2024-01-02 04:00:00,NEG_04_08,16.93,19.32,3393,2008
2024-01-02 08:00:00,NEG_08_12,9.42,11.37,3183,1954
2024-01-02 12:00:00,NEG_12_16,10.88,12.33,3062,1880
2024-01-02 16:00:00,NEG_16_20,5.19,5.65,2950,1997
2024-01-02 20:00:00,NEG_20_24,7.79,8.69,3363,1873
2024-01-03 00:00:00,NEG_00_04,24.16,31.99,3050,1916
2024-01-03 04:00:00,NEG_04_08,20.63,26.96,3067,1874
2024-01-03 08:00:00,NEG_08_12,8.75,10.0,3172,1830
2024-01-03 12:00:00,NEG_12_16,10.29,12.84,3099,1897
2024-01-03 16:00:00,NEG_16_20,4.66,5.13,3127,1750
2024-01-03 20:00:00,NEG_20_24,6.83,7.5,3077,1791
2024-01-04 00:00:00,NEG_00_04,20.93,25.89,2953,1686
2024-01-04 04:00:00,NEG_04_08,18.13,21.33,3005,1775
2024-01-04 08:00:00,NEG_08_12,7.23,7.91,3094,1706
2024-01-04 12:00:00,NEG_12_16,8.36,9.33,3166,1781
2024-01-04 16:00:00,NEG_16_20,3.81,4.32,3482,1863
2024-01-04 20:00:00,NEG_20_24,5.32,5.9,3296,1779
2024-01-05 00:00:00,NEG_00_04,16.43,17.65,3458,1828
2024-01-05 04:00:00,NEG_04_08,14.39,15.19,3553,1843
2024-01-05 08:00:00,NEG_08_12,5.51,6.29,3547,1825
2024-01-05 12:00:00,NEG_12_16,6.3,7.29,3506,1839
2024-01-05 16:00:00,NEG_16_20,3.05,3.55,3291,1821
2024-01-05 20:00:00,NEG_20_24,4.16,4.89,3393,1776
2024-01-06 00:00:00,NEG_00_04,14.13,15.64,3557,1851
2024-01-06 04:00:00,NEG_04_08,12.15,14.07,3544,2008
2024-01-06 08:00:00,NEG_08_12,4.95,5.71,3519,1954
2024-01-06 12:00:00,NEG_12_16,5.42,6.2,3554,1880
2024-01-06 16:00:00,NEG_16_20,2.86,3.18,3676,1997
2024-01-06 20:00:00,NEG_20_24,4.05,4.85,3191,1873
2024-01-07 00:00:00,NEG_00_04,13.22,14.09,3223,1811
2024-01-07 04:00:00,NEG_04_08,12.05,14.23,3195,1736
2024-01-07 08:00:00,NEG_08_12,4.86,5.91,3200,1880
2024-01-07 12:00:00,NEG_12_16,5.19,5.86,3184,1689
2024-01-07 16:00:00,NEG_16_20,2.62,2.91,3636,1763
2024-01-07 20:00:00,NEG_20_24,3.85,4.3,3229,1743
2024-01-08 00:00:00,NEG_00_04,10.77,12.18,3258,1748
2024-01-08 04:00:00,NEG_04_08,10.38,11.53,3169,1773
2024-01-08 08:00:00,NEG_08_12,4.24,4.57,3321,1790
