timestamp,Product,aFRR_Pos_Avg_Price,aFRR_Pos_Marginal_Price,aFRR_Pos_Offered_Capacity,aFRR_Pos_Demand
2024-01-01 00:00:00,POS_00_04,4.72,5.25,3637,1813
2024-01-01 04:00:00,POS_04_08,4.67,5.01,3655,1860
2024-01-01 08:00:00,POS_08_12,6.33,6.66,3732,1791
2024-01-01 12:00:00,POS_12_16,4.12,4.41,3878,1841
2024-01-01 16:00:00,POS_16_20,11.36,11.92,4184,1906
2024-01-01 20:00:00,POS_20_24,8.14,8.51,4107,1851
2024-01-02 00:00:00,POS_00_04,4.71,5.19,3671,1815
2024-01-02 04:00:00,POS_04_08,4.74,5.64,3745,1762
2024-01-02 08:00:00,POS_08_12,7.32,9.03,4152,1837
2024-01-02 12:00:00,POS_12_16,4.61,5.7,4111,1843
2024-01-02 16:00:00,POS_16_20,11.32,12.31,4206,1788
2024-01-02 20:00:00,POS_20_24,7.84,8.43,4227,1745
2024-01-03 00:00:00,POS_00_04,4.54,4.88,3860,1813
2024-01-03 04:00:00,POS_04_08,4.7,4.97,3781,1918
2024-01-03 08:00:00,POS_08_12,7.02,7.88,3948,2009
2024-01-03 12:00:00,POS_12_16,4.55,4.97,3997,1965
2024-01-03 16:00:00,POS_16_20,12.2,15.48,3840,1915
2024-01-03 20:00:00,POS_20_24,7.6,8.12,4203,1850
2024-01-04 00:00:00,POS_00_04,4.29,4.64,3913,1884
2024-01-04 04:00:00,POS_04_08,4.68,5.41,3631,1972
2024-01-04 08:00:00,POS_08_12,7.18,8.44,4110,2053
2024-01-04 12:00:00,POS_12_16,4.48,5.15,4193,2010
2024-01-04 16:00:00,POS_16_20,15.48,18.68,3844,1866
2024-01-04 20:00:00,POS_20_24,7.82,8.54,4226,1778
2024-01-05 00:00:00,POS_00_04,4.15,4.9,3696,1757
2024-01-05 04:00:00,POS_04_08,4.59,6.03,3645,1897
2024-01-05 08:00:00,POS_08_12,6.83,7.83,4180,2010
2024-01-05 12:00:00,POS_12_16,4.39,5.0,4180,1935
2024-01-05 16:00:00,POS_16_20,13.62,15.09,4387,1896
2024-01-05 20:00:00,POS_20_24,7.3,7.68,4393,1875
2024-01-06 00:00:00,POS_00_04,4.01,4.22,4082,1815
2024-01-06 04:00:00,POS_04_08,4.37,4.7,4064,1762
2024-01-06 08:00:00,POS_08_12,6.31,6.67,4359,1837
2024-01-06 12:00:00,POS_12_16,4.14,4.3,4172,1843
2024-01-06 16:00:00,POS_16_20,11.86,12.78,4526,1788
2024-01-06 20:00:00,POS_20_24,6.7,7.01,4510,1745
2024-01-07 00:00:00,POS_00_04,3.73,3.95,3858,1823
2024-01-07 04:00:00,POS_04_08,4.08,4.32,3831,1839
2024-01-07 08:00:00,POS_08_12,5.69,5.98,4182,1917
2024-01-07 12:00:00,POS_12_16,3.73,4.0,3913,1981
2024-01-07 16:00:00,POS_16_20,10.56,11.1,4543,2007
2024-01-07 20:00:00,POS_20_24,6.06,6.34,4294,1902
2024-01-08 00:00:00,POS_00_04,3.56,3.98,3775,1824
2024-01-08 04:00:00,POS_04_08,4.01,4.79,3635,1961
2024-01-08 08:00:00,POS_08_12,5.47,6.65,4175,2024
2024-01-08 12:00:00,POS_12_16,3.63,4.58,4177,1962
2024-01-08 16:00:00,POS_16_20,10.67,13.29,4136,1962
2024-01-08 20:00:00,POS_20_24,5.78,6.78,4352,1868
2024-01-09 00:00:00,POS_00_04,3.47,3.69,3485,1845
2024-01-09 04:00:00,POS_04_08,4.1,4.46,3689,1904
2024-01-09 08:00:00,POS_08_12,6.1,7.92,4074,2043
2024-01-09 12:00:00,POS_12_16,3.94,4.47,3783,1992
2024-01-09 16:00:00,POS_16_20,13.23,18.87,4246,1912
2024-01-09 20:00:00,POS_20_24,6.0,6.43,4185,1835
2024-01-10 00:00:00,POS_00_04,3.29,3.54,3551,1797
2024-01-10 04:00:00,POS_04_08,4.11,5.3,3331,1907
2024-01-10 08:00:00,POS_08_12,15.25,75.89,3267,2029
2024-01-10 12:00:00,POS_12_16,4.68,14.28,3585,1960
2024-01-10 16:00:00,POS_16_20,15.45,18.98,3846,1932
2024-01-10 20:00:00,POS_20_24,5.87,6.24,4098,1873
2024-01-11 00:00:00,POS_00_04,3.16,3.47,3739,1867
2024-01-11 04:00:00,POS_04_08,4.61,5.78,3575,1967
2024-01-11 08:00:00,POS_08_12,17.57,22.83,4181,2029
2024-01-11 12:00:00,POS_12_16,7.02,8.2,4232,2007
2024-01-11 16:00:00,POS_16_20,16.14,17.43,4257,1892
2024-01-11 20:00:00,POS_20_24,5.66,6.0,4182,1759
2024-01-12 00:00:00,POS_00_04,3.04,3.21,3953,1770
2024-01-12 04:00:00,POS_04_08,4.54,4.87,3862,1870
2024-01-12 08:00:00,POS_08_12,12.08,16.38,4022,1997
2024-01-12 12:00:00,POS_12_16,5.24,5.94,4502,1913
2024-01-12 16:00:00,POS_16_20,14.63,15.41,4366,1871
2024-01-12 20:00:00,POS_20_24,5.31,5.87,4015,1861
2024-01-13 00:00:00,POS_00_04,2.84,3.68,4037,1840
2024-01-13 04:00:00,POS_04_08,4.03,4.38,4184,1809
2024-01-13 08:00:00,POS_08_12,9.22,9.95,4512,1920
2024-01-13 12:00:00,POS_12_16,4.08,4.3,4352,1934
2024-01-13 16:00:00,POS_16_20,11.37,11.87,4645,1857
2024-01-13 20:00:00,POS_20_24,4.86,5.32,4150,1918
2024-01-14 00:00:00,POS_00_04,2.74,3.13,3732,1841
2024-01-14 04:00:00,POS_04_08,3.59,3.86,3925,1847
2024-01-14 08:00:00,POS_08_12,6.94,8.05,4587,1917
2024-01-14 12:00:00,POS_12_16,3.3,3.81,4161,1980
2024-01-14 16:00:00,POS_16_20,9.7,10.44,4600,2020
2024-01-14 20:00:00,POS_20_24,4.35,4.67,4127,1928
2024-01-15 00:00:00,POS_00_04,2.59,3.0,3809,1847
2024-01-15 04:00:00,POS_04_08,3.77,6.61,3523,1938
2024-01-15 08:00:00,POS_08_12,7.15,9.24,4424,2015
2024-01-15 12:00:00,POS_12_16,3.49,4.16,4141,1960
2024-01-15 16:00:00,POS_16_20,10.46,14.1,4201,1953
2024-01-15 20:00:00,POS_20_24,4.37,5.47,3871,1870
2024-01-16 00:00:00,POS_00_04,2.61,3.05,3579,1792
2024-01-16 04:00:00,POS_04_08,4.78,6.17,3354,1873
2024-01-16 08:00:00,POS_08_12,8.44,12.0,3822,2028
2024-01-16 12:00:00,POS_12_16,3.71,4.45,3967,1987
2024-01-16 16:00:00,POS_16_20,12.04,15.16,4076,1910
2024-01-16 20:00:00,POS_20_24,4.69,5.71,3692,1836
2024-01-17 00:00:00,POS_00_04,2.58,2.88,3413,1827
2024-01-17 04:00:00,POS_04_08,4.84,5.72,3734,1924
2024-01-17 08:00:00,POS_08_12,8.89,11.04,3776,2028
2024-01-17 12:00:00,POS_12_16,4.29,8.24,3875,1972
2024-01-17 16:00:00,POS_16_20,17.5,48.58,3244,1946
2024-01-17 20:00:00,POS_20_24,5.04,6.45,3607,1894
2024-01-18 00:00:00,POS_00_04,2.51,2.78,3794,1898
2024-01-18 04:00:00,POS_04_08,4.99,6.26,3552,1991
2024-01-18 08:00:00,POS_08_12,9.05,9.91,3882,2008
2024-01-18 12:00:00,POS_12_16,4.55,5.14,3972,1991
2024-01-18 16:00:00,POS_16_20,17.61,19.8,4119,1893
2024-01-18 20:00:00,POS_20_24,4.95,5.54,3759,1804
